order_month,net_sales,orders,customers,average_order_value
2010-12-01,572713.89,1400,885,409.08
2011-01-01,569445.04,987,741,576.95
2011-02-01,447137.35,997,758,448.48
2011-03-01,595500.76,1321,974,450.80
2011-04-01,469200.36,1149,856,408.36
2011-05-01,678594.56,1555,1056,436.40
2011-06-01,661213.69,1393,991,474.67
2011-07-01,600091.01,1331,949,450.86
2011-08-01,645343.90,1280,935,504.17
2011-09-01,952838.38,1755,1266,542.93
2011-10-01,1039318.79,1929,1364,538.79
2011-11-01,1161817.38,2657,1664,437.27
2011-12-01,518192.79,778,615,666.06
