order_month,net_sales,month_on_month_change,month_on_month_growth_pct
2010-12-01,572713.89,,
2011-01-01,569445.04,-3268.85,-0.57
2011-02-01,447137.35,-122307.69,-21.48
2011-03-01,595500.76,148363.41,33.18
2011-04-01,469200.36,-126300.40,-21.21
2011-05-01,678594.56,209394.20,44.63
2011-06-01,661213.69,-17380.87,-2.56
2011-07-01,600091.01,-61122.68,-9.24
2011-08-01,645343.90,45252.89,7.54
2011-09-01,952838.38,307494.48,47.65
2011-10-01,1039318.79,86480.41,9.08
2011-11-01,1161817.38,122498.59,11.79
2011-12-01,518192.79,-643624.59,-55.40
