product_name,units_sold,net_sales,orders
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.60,1
MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73,195
WORLD WAR 2 GLIDERS ASSTD DESIGNS,54415,13586.25,472
JUMBO BAG RED RETROSPOT,46181,85220.78,1600
WHITE HANGING HEART T-LIGHT HOLDER,36725,100448.15,1971
ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375
PACK OF 72 RETROSPOT CAKE CASES,33693,16394.53,1029
POPCORN HOLDER,30931,23427.71,632
RABBIT NIGHT LIGHT,27202,51346.20,801
MINI PAINT SET VINTAGE,26076,16039.24,325
