product_name,units_sold,net_sales,orders,average_unit_value
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.60,1,2.08
REGENCY CAKESTAND 3 TIER,12402,142592.95,1703,11.50
WHITE HANGING HEART T-LIGHT HOLDER,36725,100448.15,1971,2.74
JUMBO BAG RED RETROSPOT,46181,85220.78,1600,1.85
MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73,195,1.04
POSTAGE,3120,77803.96,1099,24.94
PARTY BUNTING,15291,68844.33,1379,4.50
ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375,1.60
Manual,7173,53779.93,253,7.50
RABBIT NIGHT LIGHT,27202,51346.20,801,1.89
CHILLI LIGHTS,9650,46286.51,519,4.80
PAPER CHAIN KIT 50'S CHRISTMAS,15617,42660.83,980,2.73
PICNIC BASKET WICKER 60 PIECES,61,39619.50,2,649.50
BLACK RECORD COVER FRAME,11406,39064.55,313,3.42
JUMBO BAG PINK POLKADOT,20165,37289.59,871,1.85
DOORMAT KEEP CALM AND COME IN,5342,35913.85,648,6.72
SPOTTY BUNTING,7639,35539.25,1003,4.65
WOOD BLACK BOARD ANT WHITE FINISH,5921,34478.01,604,5.82
SET OF 3 CAKE TINS PANTRY DESIGN,7020,33347.80,1146,4.75
JAM MAKING SET WITH JARS,8151,32662.97,878,4.01
JUMBO BAG STRAWBERRY,16807,30644.20,654,1.82
VICTORIAN GLASS HANGING T-LIGHT,22433,28776.51,815,1.28
HEART OF WICKER LARGE,9591,28520.95,801,2.97
HEART OF WICKER SMALL,16775,28228.64,961,1.68
LUNCH BAG RED RETROSPOT,17697,28048.45,1288,1.58
SET OF 3 REGENCY CAKE TINS,5856,26625.68,718,4.55
JUMBO BAG APPLES,13887,26451.26,718,1.90
ALARM CLOCK BAKELIKE RED,7221,25925.20,877,3.59
PAPER CHAIN KIT VINTAGE CHRISTMAS,9433,25669.27,697,2.72
DOORMAT RED RETROSPOT,3901,25397.85,576,6.51
GIN + TONIC DIET METAL SIGN,11519,24988.98,655,2.17
ROSES REGENCY TEACUP AND SAUCER,9132,24865.60,783,2.72
SPACEBOY LUNCH BOX,13919,24694.59,704,1.77
HOT WATER BOTTLE KEEP CALM,5338,24426.30,719,4.58
NATURAL SLATE HEART CHALKBOARD,8480,24245.52,967,2.86
JUMBO BAG ALPHABET,12540,24175.00,752,1.93
PLEASE ONE PERSON METAL SIGN,11963,23930.92,694,2.00
RED  HARMONICA IN BOX,20975,23793.93,561,1.13
DOORMAT UNION FLAG,3625,23697.99,516,6.54
JUMBO  BAG BAROQUE BLACK WHITE,12793,23675.04,649,1.85
CHOCOLATE HOT WATER BOTTLE,5160,23624.24,700,4.58
POPCORN HOLDER,30931,23427.71,632,0.76
REGENCY TEAPOT ROSES,2666,23073.32,354,8.65
