customer_id,total_spend,total_orders,average_order_value,last_order_date,days_since_last_order,customer_segment
15749.0,44534.30,3,14844.77,2011-04-18,235,High-value at risk
15098.0,39916.50,3,13305.50,2011-06-10,182,High-value at risk
16180.0,10254.18,8,1281.77,2011-08-31,100,High-value at risk
12590.0,9864.26,2,4932.13,2011-05-12,211,High-value at risk
13093.0,7832.47,8,979.06,2011-03-09,275,High-value at risk
12980.0,7374.90,9,819.43,2011-07-05,157,High-value at risk
13027.0,6912.00,6,1152.00,2011-08-18,113,High-value at risk
16553.0,5719.82,12,476.65,2011-06-29,163,High-value at risk
17850.0,5391.21,34,158.57,2010-12-02,372,High-value at risk
15032.0,4959.10,3,1653.03,2011-03-28,256,High-value at risk
13802.0,4599.42,3,1533.14,2011-07-24,138,High-value at risk
14016.0,4341.21,4,1085.30,2011-07-01,161,High-value at risk
18087.0,4055.72,2,2027.86,2011-09-02,98,High-value at risk
18073.0,3877.52,12,323.13,2011-08-17,114,High-value at risk
12755.0,3811.95,2,1905.98,2011-03-04,280,High-value at risk
15808.0,3734.97,4,933.74,2011-02-06,306,High-value at risk
12502.0,3723.87,5,744.77,2011-09-05,95,High-value at risk
14364.0,3717.35,8,464.67,2011-08-23,108,High-value at risk
15379.0,3703.29,7,529.04,2011-06-23,169,High-value at risk
15581.0,3679.97,13,283.07,2011-08-11,120,High-value at risk
17230.0,3638.41,8,454.80,2011-03-20,264,High-value at risk
13082.0,3613.63,9,401.51,2011-08-05,126,High-value at risk
12643.0,3344.64,6,557.44,2011-08-03,128,High-value at risk
17723.0,3276.40,6,546.07,2011-08-04,127,High-value at risk
13952.0,3251.07,2,1625.54,2011-05-06,217,High-value at risk
17050.0,3228.84,6,538.14,2011-09-04,96,High-value at risk
13869.0,3104.95,4,776.24,2011-08-08,123,High-value at risk
15491.0,3100.09,6,516.68,2011-09-05,95,High-value at risk
14565.0,3099.12,4,774.78,2011-09-05,95,High-value at risk
13631.0,3070.42,11,279.13,2011-09-01,99,High-value at risk
12754.0,3010.74,3,1003.58,2011-04-18,235,High-value at risk
12916.0,3006.15,4,751.54,2011-07-24,138,High-value at risk
17504.0,2997.03,9,333.00,2011-05-17,206,High-value at risk
17444.0,2940.04,3,980.01,2011-07-15,147,High-value at risk
12758.0,2791.59,2,1395.80,2011-08-15,116,High-value at risk
12669.0,2744.03,3,914.68,2011-07-12,150,High-value at risk
12840.0,2726.77,4,681.69,2011-07-19,143,High-value at risk
12625.0,2683.82,2,1341.91,2011-05-12,211,High-value at risk
13851.0,2651.46,3,883.82,2011-09-05,95,High-value at risk
18260.0,2643.20,6,440.53,2011-06-20,172,High-value at risk
16919.0,2596.45,11,236.04,2011-07-06,156,High-value at risk
15245.0,2515.84,3,838.61,2011-07-28,134,High-value at risk
17722.0,2424.04,4,606.01,2011-09-04,96,High-value at risk
13722.0,2375.41,3,791.80,2011-07-31,131,High-value at risk
14930.0,2372.86,3,790.95,2011-08-23,108,High-value at risk
16550.0,2298.97,5,459.79,2011-08-23,108,High-value at risk
15704.0,2293.62,4,573.41,2011-07-22,140,High-value at risk
15235.0,2247.51,12,187.29,2011-05-06,217,High-value at risk
15665.0,2242.01,2,1121.01,2011-06-24,168,High-value at risk
12653.0,2209.85,2,1104.93,2011-07-14,148,High-value at risk
15797.0,2207.40,4,551.85,2011-08-18,113,High-value at risk
17406.0,2200.42,3,733.47,2011-01-10,333,High-value at risk
16456.0,2158.37,5,431.67,2011-09-01,99,High-value at risk
14407.0,2157.73,6,359.62,2011-08-24,107,High-value at risk
14828.0,2139.76,3,713.25,2011-05-27,196,High-value at risk
17400.0,2129.96,5,425.99,2011-08-05,126,High-value at risk
18093.0,2106.52,4,526.63,2011-09-07,93,High-value at risk
14461.0,2103.06,3,701.02,2011-07-14,148,High-value at risk
18231.0,2083.27,5,416.65,2011-05-31,192,High-value at risk
12585.0,2040.10,2,1020.05,2011-04-19,234,High-value at risk
13593.0,2037.08,5,407.42,2011-08-23,108,High-value at risk
17337.0,2027.87,4,506.97,2011-07-11,151,High-value at risk
16698.0,1998.00,2,999.00,2011-04-27,226,High-value at risk
12853.0,1957.10,6,326.18,2011-07-28,134,High-value at risk
14472.0,1936.84,8,242.11,2011-08-28,103,High-value at risk
14210.0,1905.84,6,317.64,2011-08-26,105,High-value at risk
15641.0,1887.20,4,471.80,2011-08-26,105,High-value at risk
17787.0,1865.19,4,466.30,2011-07-10,152,High-value at risk
12383.0,1850.56,5,370.11,2011-06-08,184,High-value at risk
15260.0,1810.77,7,258.68,2011-08-31,100,High-value at risk
15812.0,1801.14,5,360.23,2011-08-24,107,High-value at risk
12424.0,1760.96,2,880.48,2011-06-30,162,High-value at risk
13564.0,1749.02,3,583.01,2011-07-18,144,High-value at risk
17353.0,1740.00,2,870.00,2011-08-02,129,High-value at risk
17457.0,1737.70,5,347.54,2011-08-05,126,High-value at risk
16398.0,1705.80,2,852.90,2011-07-08,154,High-value at risk
17282.0,1703.41,3,567.80,2011-08-01,130,High-value at risk
14245.0,1693.45,2,846.73,2011-05-04,219,High-value at risk
17152.0,1689.50,3,563.17,2011-05-29,194,High-value at risk
13162.0,1688.29,4,422.07,2011-08-09,122,High-value at risk
15332.0,1661.06,4,415.27,2010-12-08,366,High-value at risk
12967.0,1660.90,2,830.45,2010-12-16,358,High-value at risk
14045.0,1659.75,4,414.94,2011-08-22,109,High-value at risk
14573.0,1653.42,9,183.71,2011-06-13,179,High-value at risk
15002.0,1641.76,4,410.44,2011-08-16,115,High-value at risk
15122.0,1633.78,3,544.59,2011-08-17,114,High-value at risk
12377.0,1628.12,2,814.06,2011-01-28,315,High-value at risk
13425.0,1624.21,3,541.40,2011-08-23,108,High-value at risk
16801.0,1619.73,4,404.93,2011-06-29,163,High-value at risk
14918.0,1610.15,2,805.08,2011-08-16,115,High-value at risk
12868.0,1607.06,6,267.84,2011-06-07,185,High-value at risk
12947.0,1603.99,6,267.33,2011-07-19,143,High-value at risk
18178.0,1590.81,4,397.70,2011-08-03,128,High-value at risk
14442.0,1589.82,2,794.91,2011-05-19,204,High-value at risk
13814.0,1579.12,2,789.56,2011-09-08,92,High-value at risk
16889.0,1578.67,3,526.22,2011-05-29,194,High-value at risk
13659.0,1573.20,2,786.60,2011-05-18,205,High-value at risk
17085.0,1566.65,5,313.33,2011-08-08,123,High-value at risk
17204.0,1564.56,4,391.14,2011-06-17,175,High-value at risk
18239.0,1561.61,5,312.32,2011-05-05,218,High-value at risk
15625.0,1534.26,4,383.57,2011-08-28,103,High-value at risk
16244.0,1522.75,2,761.38,2011-05-12,211,High-value at risk
14267.0,1516.24,3,505.41,2011-06-30,162,High-value at risk
13791.0,1516.00,2,758.00,2011-08-04,127,High-value at risk
15265.0,1506.12,2,753.06,2011-07-11,151,High-value at risk
14414.0,1496.98,7,213.85,2011-09-09,91,High-value at risk
16755.0,1496.83,3,498.94,2011-08-17,114,High-value at risk
15057.0,1489.50,2,744.75,2011-03-09,275,High-value at risk
14758.0,1484.06,4,371.02,2011-07-18,144,High-value at risk
14403.0,1475.81,4,368.95,2011-08-01,130,High-value at risk
14246.0,1474.06,3,491.35,2011-08-21,110,High-value at risk
14875.0,1465.32,2,732.66,2011-08-24,107,High-value at risk
14740.0,1448.21,3,482.74,2011-05-26,197,High-value at risk
16503.0,1431.93,4,357.98,2011-08-25,106,High-value at risk
13475.0,1431.78,4,357.95,2011-06-01,191,High-value at risk
15596.0,1406.59,5,281.32,2011-08-31,100,High-value at risk
17083.0,1405.78,3,468.59,2011-08-22,109,High-value at risk
18202.0,1396.99,3,465.66,2011-05-24,199,High-value at risk
13414.0,1390.50,3,463.50,2011-07-29,133,High-value at risk
15569.0,1375.71,5,275.14,2011-08-28,103,High-value at risk
15095.0,1370.60,4,342.65,2011-08-28,103,High-value at risk
14154.0,1345.62,2,672.81,2011-04-14,239,High-value at risk
16317.0,1341.65,3,447.22,2011-08-12,119,High-value at risk
16045.0,1340.70,4,335.18,2011-08-12,119,High-value at risk
15734.0,1339.45,2,669.73,2011-08-17,114,High-value at risk
15146.0,1327.16,2,663.58,2011-06-28,164,High-value at risk
16083.0,1317.62,2,658.81,2011-08-31,100,High-value at risk
14973.0,1314.45,3,438.15,2011-08-24,107,High-value at risk
12507.0,1304.81,3,434.94,2011-07-28,134,High-value at risk
15813.0,1303.91,2,651.96,2011-05-16,207,High-value at risk
15108.0,1300.25,4,325.06,2011-07-21,141,High-value at risk
16951.0,1277.75,3,425.92,2011-07-28,134,High-value at risk
16692.0,1276.00,2,638.00,2011-03-28,256,High-value at risk
14669.0,1269.99,3,423.33,2011-04-12,241,High-value at risk
