customer_id,total_spend,total_orders,average_order_value,last_order_date,spend_rank
14646.0,280206.02,73,3838.44,2011-12-08,1
18102.0,259657.30,60,4327.62,2011-12-09,2
17450.0,194550.79,46,4229.37,2011-12-01,3
16446.0,168472.50,2,84236.25,2011-12-09,4
14911.0,143825.06,201,715.55,2011-12-08,5
12415.0,124914.53,21,5948.31,2011-11-15,6
14156.0,117379.63,55,2134.18,2011-11-30,7
17511.0,91062.38,31,2937.50,2011-12-07,8
16029.0,81024.84,63,1286.11,2011-11-01,9
12346.0,77183.60,1,77183.60,2011-01-18,10
16684.0,66653.56,28,2380.48,2011-12-05,11
14096.0,65164.79,17,3833.22,2011-12-05,12
13694.0,65039.62,50,1300.79,2011-12-06,13
15311.0,60767.90,91,667.78,2011-12-09,14
13089.0,58825.83,97,606.45,2011-12-07,15
17949.0,58510.48,45,1300.23,2011-12-08,16
15769.0,56252.72,26,2163.57,2011-12-02,17
15061.0,54534.14,48,1136.13,2011-12-06,18
14298.0,51527.30,44,1171.08,2011-12-01,19
14088.0,50491.81,13,3883.99,2011-11-29,20
