customer_id,first_order_date,last_order_date,dataset_end_date,days_since_last_order,total_orders,total_items,total_spend,average_order_value,spend_quintile,customer_segment
14646.0,2010-12-20,2011-12-08,2011-12-09,1,73,196915,280206.02,3838.44,1,High-value active
18102.0,2010-12-07,2011-12-09,2011-12-09,0,60,64124,259657.30,4327.62,1,High-value active
17450.0,2010-12-07,2011-12-01,2011-12-09,8,46,69993,194550.79,4229.37,1,High-value active
16446.0,2011-05-18,2011-12-09,2011-12-09,0,2,80997,168472.50,84236.25,1,High-value active
14911.0,2010-12-01,2011-12-08,2011-12-09,1,201,80265,143825.06,715.55,1,High-value active
12415.0,2011-01-06,2011-11-15,2011-12-09,24,21,77374,124914.53,5948.31,1,High-value active
14156.0,2010-12-03,2011-11-30,2011-12-09,9,55,57885,117379.63,2134.18,1,High-value active
17511.0,2010-12-01,2011-12-07,2011-12-09,2,31,64549,91062.38,2937.50,1,High-value active
16029.0,2010-12-01,2011-11-01,2011-12-09,38,63,40208,81024.84,1286.11,1,High-value active
12346.0,2011-01-18,2011-01-18,2011-12-09,325,1,74215,77183.60,77183.60,1,One-time customer
16684.0,2010-12-16,2011-12-05,2011-12-09,4,28,50255,66653.56,2380.48,1,High-value active
14096.0,2011-08-30,2011-12-05,2011-12-09,4,17,16352,65164.79,3833.22,1,High-value active
13694.0,2010-12-01,2011-12-06,2011-12-09,3,50,63312,65039.62,1300.79,1,High-value active
15311.0,2010-12-01,2011-12-09,2011-12-09,0,91,38194,60767.90,667.78,1,High-value active
13089.0,2010-12-05,2011-12-07,2011-12-09,2,97,31070,58825.83,606.45,1,High-value active
17949.0,2010-12-03,2011-12-08,2011-12-09,1,45,30546,58510.48,1300.23,1,High-value active
15769.0,2010-12-03,2011-12-02,2011-12-09,7,26,29672,56252.72,2163.57,1,High-value active
15061.0,2010-12-02,2011-12-06,2011-12-09,3,48,28920,54534.14,1136.13,1,High-value active
14298.0,2010-12-14,2011-12-01,2011-12-09,8,44,58343,51527.30,1171.08,1,High-value active
14088.0,2011-01-21,2011-11-29,2011-12-09,10,13,12665,50491.81,3883.99,1,High-value active
15749.0,2011-01-11,2011-04-18,2011-12-09,235,3,18028,44534.30,14844.77,1,High-value at risk
12931.0,2010-12-17,2011-11-18,2011-12-09,21,15,28004,42055.96,2803.73,1,High-value active
17841.0,2010-12-01,2011-12-08,2011-12-09,1,124,23071,40991.57,330.58,1,High-value active
15098.0,2011-06-10,2011-06-10,2011-12-09,182,3,121,39916.50,13305.50,1,High-value at risk
13798.0,2010-12-02,2011-12-08,2011-12-09,1,57,23948,37153.85,651.82,1,High-value active
16013.0,2010-12-03,2011-12-06,2011-12-09,3,47,15536,37130.60,790.01,1,High-value active
16422.0,2010-12-05,2011-11-22,2011-12-09,17,51,33704,34684.40,680.09,1,High-value active
12748.0,2010-12-01,2011-12-09,2011-12-09,0,209,25747,33719.73,161.34,1,High-value active
15838.0,2010-12-07,2011-11-28,2011-12-09,11,19,18368,33643.08,1770.69,1,High-value active
17404.0,2010-12-14,2011-12-05,2011-12-09,4,15,32748,31906.82,2127.12,1,High-value active
17389.0,2011-01-12,2011-12-09,2011-12-09,0,34,7612,31833.68,936.28,1,High-value active
13098.0,2011-01-26,2011-12-08,2011-12-09,1,28,15968,28882.44,1031.52,1,High-value active
14680.0,2010-12-03,2011-11-14,2011-12-09,25,16,13476,28754.11,1797.13,1,High-value active
13081.0,2010-12-03,2011-11-28,2011-12-09,11,11,19068,28337.38,2576.13,1,High-value active
13408.0,2010-12-01,2011-12-08,2011-12-09,1,62,16232,28117.04,453.50,1,High-value active
17857.0,2010-12-09,2011-12-05,2011-12-09,4,23,19256,26879.04,1168.65,1,High-value active
16333.0,2011-02-03,2011-12-02,2011-12-09,7,22,32184,26626.80,1210.31,1,High-value active
